Table 1
Part of the Proton Pack,,,,,,,,,
,Item size,Number Required,Full Kit Total Units Needed,Part is Optional,Price *at the point of purchase,Number of items provided,Additional Notes,Download Link,My Purchased link
JST-XH 2.52 pitch 2 pin,,x2,,,£1.40,,,,https://www.aliexpress.com/item/33012363062.html?spm=a2g0o.cart.0.0.6ce838daTqYsVA&mp=1
JST-XH 2.52 pitch 3 pin,,x4,,,£1.50,,,,https://www.aliexpress.com/item/33012363062.html?spm=a2g0o.cart.0.0.6ce838daTqYsVA&mp=1
JST-XH 2.52 pitch 4 pin,,x1,,,£1.59,,,,https://www.aliexpress.com/item/33012363062.html?spm=a2g0o.cart.0.0.6ce838daTqYsVA&mp=1
,,,,,,,,,
,,,,,,,,,
Cyclotron ,,,,,,,,,
7bit Round PCB 5v DC WS2812b LEDs,,x4,,,,,,,https://www.aliexpress.com/item/1005001567107716.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
,,,,,,,,,
,,,,,,,,,
Power Cell,,,,,,,,,
8bit strip PCB 5v DC WS2812b LEDs,,x2,,,,,,,https://www.aliexpress.com/item/1005001567107716.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
,,,,,,,,,
,,,,,,,,,
Wand Control board,,,,,,,,,
Custom PCB,,x1,,* can be replaced with perf board,£3.04,,Note: minimum order at JLCPCB is x5.,https://github.com/rbalboa8/ProtonPack/tree/1.0.1-mychanges/Eagle%20PCB/PCB%20Files%20with%20corrections,https://jlcpcb.com
Perf Board,,,,* can be replaced with the custom PCB,,,,,
25v 1000uF Aluminum Electrolytic Capacitor,,X1,,,,,,,https://www.aliexpress.com/item/1005003372358814.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
25v 470uF Aluminum Electrolytic Capacitor,,x1,,,,,,,https://www.aliexpress.com/item/1005003790477573.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
Rj45 PCB Mount Ethernet Socket,,x1,,,,,,,https://www.aliexpress.com/item/4000199999324.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
1N4001 through hole diode,,x1,,,,x50,,,https://www.aliexpress.com/item/1005001552094086.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
NPN Transistor PN2222A in a  TO-92 Package,,x1,,,,,The original board files has this item listed as a MPSA56 PNP transistor in a TO-92 package. How ever this did not work for me and other circuits I have researched are using a NPN transistor.,,https://store.brightcomponents.co.uk/product/10x-2n2222a-npn-transistor-10-pieces/
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Wand Buttons and Switches,,,,,,,,,
SCI R13-521B Red 2 pole SPST mini push momentary switch,,,,,,,This item fits the wand ear hole perfectly and does not hang lower than the available cavity space.,,https://www.ebay.com/itm/362896494691
Momentary mini Push Button Switch 1A 250VAC SPST Normally open ,,x1,,,,x20,,,https://www.amazon.co.uk/gp/product/B098TDHK3D/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
2 Position Miniature Toggle Switch AC 125v 3A,,x3,,,,x10,,,https://www.amazon.co.uk/gp/product/B00HGAKDIQ/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Wand Lights String,,,,,,,,,
Single bit 5v WS2812b LED Round PCB,3mm x 10mm,x6,,,,,,,https://www.aliexpress.com/item/32824064090.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
3 bit 5v WS2812b LED Round PCB,,x1,,,,,,,https://www.ebay.com/itm/113384951693
,,,,,,,,,
Wand Bargraph,,,,,,,,,
BL28-3005S 28 Segment Yellow Bargraph,,x1,,,,,,,https://www.aliexpress.com/item/4000830573194.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
HT16K33 LED Dot matrix driver board,,x1,,,,,,,https://www.aliexpress.com/item/4000570014858.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
Custom PCB,,x1,,* the bargraph and driver board can be wired directly to each other but this can be difficult. This method can also take up the limited space in the wand.,£5.17,x5,"*Note: minimum order at JLCPCB is x5. *This is a quick, easy method to wire these bargraph to its driver in a compact neat way. The board also gives means to secure the bargraph to the body of the wand in a way that is easily removed.",https://github.com/rbalboa8/ProtonPack/tree/1.0.1-mychanges/Eagle%20PCB/Bargraph%20to%20Driver%20Board%20PCB,https://jlcpcb.com
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Wand Vibration,,,,,,,,,
PS4 Left Rumble Motor,,x1,,,,,,,https://www.aliexpress.com/item/1005002864800390.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
,,,,,,,,,
N-Filter Vent Smoke Kit,,,,,,,,,
Momentary mini Push Button Switch 1A 250VAC SPST Normally open ,,x1,,,,x20,,,https://www.amazon.co.uk/gp/product/B098TDHK3D/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
2 Position Miniature Toggle Switch AC 125v 3A,,x1,,,,x10,,,https://www.amazon.co.uk/gp/product/B00HGAKDIQ/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
ICQUANZX 5V 3A switch-mode UBEC,,x1,,,,x1,,,https://www.amazon.co.uk/gp/product/B081CV3D2B/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
1 Channel 5v relay module,,,,,,,,,https://www.aliexpress.com/item/1005001729456258.html?spm=a2g0o.productlist.0.0.796024eevAzVJy&algo_pvid=7713a99a-ecf1-4628-87da-a06297fdfb86&algo_exp_id=7713a99a-ecf1-4628-87da-a06297fdfb86-20&pdp_ext_f=%7B%22sku_id%22%3A%2212000017372356617%22%7D&pdp_npi=2%40dis%21GBP%21%210.24%21%21%21%21%21%402100bddb16573135581931766ec407%2112000017372356617%21sea
Kanger T3S Clearomizer,,x1,,* you can use two of these for larger smoke volume but this has power requirement implications.,,,,,https://www.ebay.com/itm/284512239183?var=586114923875
510 Thread Adapter to Ego Thread connector,,x1,,,,,Converts the battery thread on the Kanger Clearomizer to the Bottom Feed Squonk power wiring connector.,,https://www.aliexpress.com/item/10000264480810.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
510 Bottom Feed Spring Loaded Red Squonk connector,,,,,,,"Power connects to this item and, in combination with the 510 thread adapter, allows for easy power wiring of the Kanger Clearomizer.",,https://www.aliexpress.com/item/4000186843521.html?spm=a2g0o.order_list.0.0.24971802p1qpXu
5v 50mm 5010 DC fan,,x1,,* this can be replaced with a 12v version and some rewiring,,,,,https://www.aliexpress.com/item/1005001711075410.html?spm=a2g0o.order_detail.0.0.611bf19c5qa03R
12v 50mm 5010 DC fan,,x1,,* this can be replaced with a 5v version and some rewiring,,,,,https://www.aliexpress.com/item/1005001711075410.html?spm=a2g0o.order_detail.0.0.611bf19c5qa03R
